Year Month,client,GB downloaded
Nov 2018,aws-cli,9072.129496112466
Nov 2018,Cyberduck,0.0007358919829130173
Nov 2018,Mozilla,727.2813347633928
Nov 2018,git-annex,22.6532918587327
Dec 2018,Cyberduck,0.00015568174421787262
Dec 2018,Mozilla,1050.046830944717
Dec 2018,aws-cli,21515.17871164903
Dec 2018,git-annex,1546.576624656096
Jan 2019,Cyberduck,0.00021080486476421356
Jan 2019,aws-cli,12134.934375617653
Jan 2019,git-annex,3266.6354328859597
Jan 2019,Mozilla,1270.094031944871
Feb 2019,node-fetch,0.554963443428278
Feb 2019,Cyberduck,583.25794246234
Feb 2019,aws-cli,55388.07903778739
Feb 2019,Mozilla,2093.094251833856
Feb 2019,git-annex,1542.8304801117629
Mar 2019,git-annex,547.2600772827864
Mar 2019,Cyberduck,0.0000011138617992401123
Mar 2019,Mozilla,2458.7959855124354
Mar 2019,aws-cli,10183.503189750016
Apr 2019,Cyberduck,15.815395085141063
Apr 2019,Mozilla,1787.9033007789403
Apr 2019,aws-cli,9706.31868809089
Apr 2019,git-annex,295.32200486958027
May 2019,git-annex,252.61005443520844
May 2019,aws-cli,14279.916429173201
May 2019,Mozilla,2419.08794458583
May 2019,Cyberduck,782.9400530401617
Jun 2019,git-annex,114.12261098995805
Jun 2019,Cyberduck,3804.396834887564
Jun 2019,Mozilla,2063.2624706476927
Jun 2019,aws-cli,25480.01320648566
Jul 2019,git-annex,5545.754303926602
Jul 2019,Cyberduck,14.84798626974225
Jul 2019,aws-cli,16660.67771494575
Jul 2019,Mozilla,2967.798965131864
Aug 2019,git-annex,6378.809616975486
Aug 2019,Mozilla,4367.644795903936
Aug 2019,aws-cli,16852.141265243292
Aug 2019,Cyberduck,699.2405206207186
Sep 2019,git-annex,890.023141272366
Sep 2019,node-fetch,5.0091830641031265
Sep 2019,Mozilla,2029.7139789164066
Sep 2019,aws-cli,19751.676525551826
Sep 2019,Cyberduck,494.94489792734385
Oct 2019,git-annex,1005.3334573600441
Oct 2019,aws-cli,32714.56703542173
Oct 2019,Mozilla,4037.4178509842604
Oct 2019,Cyberduck,0.00022585131227970123
Nov 2019,aws-cli,41725.93322845362
Nov 2019,git-annex,777.9337896481156
Nov 2019,Cyberduck,0.27205416187644005
Nov 2019,Mozilla,694.6383289583027
Dec 2019,Cyberduck,258.750445574522
Dec 2019,Mozilla,1536.5966593548656
Dec 2019,git-annex,2279.83301281929
Dec 2019,aws-cli,20980.594871681184
Jan 2020,git-annex,748.1469367034733
Jan 2020,Mozilla,0.0025816261768341064
Jan 2020,Cyberduck,378.5557357147336
Jan 2020,aws-cli,17635.118679927662
Feb 2020,Mozilla,0.03492871671915054
Feb 2020,git-annex,893.1968132406473
Feb 2020,Cyberduck,684.5322713684291
Feb 2020,aws-cli,21170.73631817475
Mar 2020,aws-cli,32126.47229329683
Mar 2020,Mozilla,0.024230295792222023
Mar 2020,Cyberduck,4.680696651339531
Mar 2020,git-annex,2314.442348398268
Apr 2020,aws-cli,46278.656014189124
Apr 2020,Mozilla,0.10417464934289455
Apr 2020,Cyberduck,601.5478754676878
Apr 2020,git-annex,1558.9879857189953
May 2020,Mozilla,0.35438782908022404
May 2020,Cyberduck,118.19255382753909
May 2020,aws-cli,32203.34705313854
May 2020,git-annex,4765.438927734271
Jun 2020,git-annex,3417.257353520021
Jun 2020,aws-cli,35765.216272233054
Jun 2020,Mozilla,0.045912472531199455
Jun 2020,Cyberduck,30.509114999324083
Jul 2020,Cyberduck,128.05219762399793
Jul 2020,node-fetch,73.01308439858258
Jul 2020,git-annex,985.8574250005186
Jul 2020,aws-cli,46047.174919620156
Jul 2020,Mozilla,349.3560176398605
Aug 2020,aws-cli,64594.54004918368
Aug 2020,Mozilla,1023.1660063142763
Aug 2020,git-annex,825.1553234343968
Aug 2020,node-fetch,80.98733818779255
Aug 2020,Cyberduck,2.585084770084955
Sep 2020,Cyberduck,168.43359159119427
Sep 2020,node-fetch,104.3833105172962
Sep 2020,Mozilla,176.77566210739315
Sep 2020,git-annex,714.535722117871
Sep 2020,aws-cli,23490.827952262014
Oct 2020,Cyberduck,58.28628497
Oct 2020,node-fetch,285.02343519399994
Oct 2020,Mozilla,1318.7199483858553
Oct 2020,git-annex,635.4530374413083
Oct 2020,aws-cli,17581.71588871922
Nov 2020,node-fetch,716.128891447
Nov 2020,Cyberduck,107.06775008299999
Nov 2020,git-annex,1659.0424008239988
Nov 2020,aws-cli,18718.526132654988
Nov 2020,Mozilla,1912.4057541319787
Dec 2020,git-annex,2309.8874290349913
Dec 2020,Mozilla,2136.3421604337195
Dec 2020,aws-cli,35190.74238497799
Dec 2020,node-fetch,954.546340321
Dec 2020,Cyberduck,0.00003872
Jan 2021,Cyberduck,240.191059444
Jan 2021,node-fetch,705.955317044
Jan 2021,git-annex,1299.6607407359995
Jan 2021,aws-cli,13553.606389234006
Jan 2021,Mozilla,2156.2579467603196
Feb 2021,git-annex,2839.443614694989
Feb 2021,Mozilla,2721.2535462365554
Feb 2021,node-fetch,698.8254067757401
Feb 2021,aws-cli,18627.288695291998
Feb 2021,Cyberduck,82.20346957500001
Mar 2021,Cyberduck,2.2854635730000012
Mar 2021,node-fetch,684.8234069530001
Mar 2021,aws-cli,30282.65865543807
Mar 2021,Mozilla,2321.9418818439776
Mar 2021,git-annex,3235.4324394679943
Apr 2021,git-annex,2573.6041717099924
Apr 2021,Mozilla,2402.8845312235017
Apr 2021,aws-cli,22880.522320762015
Apr 2021,node-fetch,335.243178264
Apr 2021,Cyberduck,48.508739642